Model,VIN,Uph,Retail Date,MSRP,Wholesale date,Trade,Client order,Paints,Lot life,Defect
GLS450W4,4JGDF6EE8JB084772,Beige,4/26/2019,83540,1/24/2019,0,0,Blue,92,1
GT53C4,WDD7X6BB4KA003806,Grey,4/24/2019,114520,4/18/2019,0,0,Grey,6,0
GLA250W4,WDCTG4GB7KJ591829,Brown,4/24/2019,45770,12/31/2018,0,0,White,114,1
GLS450W4,4JGDF6EE6KB226490,Beige,4/20/2019,83230,12/3/2018,0,0,Black,138,1
GLC350E4,WDC0G5EB1KF536632,Black,4/20/2019,60995,11/26/2018,0,0,Black,145,1
C63C,WDDWJ8GB2KF845273,Black,4/20/2019,75210,2/7/2019,0,0,Blue,72,0
SLC300R,WDDPK3JA6KF160827,Beige,4/20/2019,59835,12/28/2018,0,0,Red,113,1
GLC300C4,WDC0J4KB0KF570237,Black,4/19/2019,52845,4/18/2019,1,0,Black,1,0
C63A,WDDWK8GB2KF850650,Black,4/19/2019,82215,3/13/2019,0,0,Red,37,0
GLS550W4,4JGDF7DE4KB235227,Black,4/19/2019,101855,4/4/2019,1,0,Grey,15,0
GLC300W4,WDC0G4KBXKV166351,Beige,4/19/2019,52745,3/13/2019,0,0,Blue,37,0
G63W4,WDCYC7HJ4KX320054,Red,4/19/2019,175895,4/18/2019,0,1,Silver,1,0
G63W4,WDCYC7HJ0KX318947,Black,4/19/2019,175895,4/12/2019,0,1,Black,7,0
S450V4,WDDUG6EBXKA461462,Black,4/18/2019,105265,12/19/2018,0,0,Black,120,1
GT63C4S,WDD7X8KB2KA001919,Red,4/18/2019,179450,3/7/2019,0,1,Grey,42,0
E53W4,WDDZF6BB3KA638365,Black,4/17/2019,90000,3/25/2019,0,0,White,23,0
SLC300R,WDDPK3JA7KF162540,Beige,4/17/2019,60495,2/18/2019,0,0,Blue,58,0
S560V4,WDDUG8GB9KA454222,Grey,4/16/2019,121045,11/20/2018,0,0,Black,147,1
GLE350W4,4JGFB4KE0LA012048,Grey,4/16/2019,72660,2/15/2019,0,0,Black,60,0
A220W4,WDD3G4FBXKW005785,Red,4/16/2019,47955,3/31/2019,0,0,White,16,0
C300W4,55SWF8EB7KU307668,Beige,4/16/2019,52595,1/11/2019,0,0,Red,95,1
CLA250C4,WDDSJ4GB9KN740632,Black,4/16/2019,42025,12/13/2018,0,0,Black,124,1
GLC300W4,WDC0G4KB8KF556777,Black,4/16/2019,51985,12/13/2018,0,0,Grey,124,1
GLC300C4,WDC0J4KB7KF588895,Red,4/13/2019,63210,1/31/2019,0,0,White,72,0
G63W4,WDCYC7HJ2KX318447,Black,4/13/2019,172095,4/10/2019,0,1,Silver,3,0
G63W4,WDCYC7HJXKX315148,Beige,4/13/2019,161215,4/10/2019,0,1,White,3,0
G63W4,WDCYC7HJ5KX319107,White,4/13/2019,164915,4/12/2019,0,1,Blue,1,0
GLS450W4,4JGDF6EE6KB202237,Black,4/12/2019,83230,9/5/2018,0,0,Black,219,1
S63V4,WDDUG8JB3KA467511,Brown,4/10/2019,168915,1/28/2019,0,0,Blue,72,0
E300W4,WDDZF4KB4KA607940,Black,4/10/2019,67260,2/11/2019,0,0,Black,58,0
GLE350W4,4JGFB4KB5LA009913,Black,4/10/2019,64550,3/15/2019,0,0,Black,26,0
GLE450W4,4JGFB5KB3LA023654,Black,4/10/2019,71550,2/4/2019,0,0,Black,65,0
C300W4,55SWF8EB8KU312524,Black,4/8/2019,47795,2/15/2019,0,0,Black,52,0
A220W4,WDD3G4FB7KW006280,Black,4/8/2019,41685,2/28/2019,0,0,Grey,39,0
C300W4,55SWF8EB8KU305976,Beige,4/1/2019,48845,1/3/2019,0,0,Black,88,0
GLC43C4,WDC0J6EB1KF619713,Black,4/1/2019,73210,3/30/2019,0,1,Black,2,0
E450C4,WDD1J6JB1KF089765,Brown,4/1/2019,74915,12/20/2018,0,0,Blue,102,1
CLA250C4,WDDSJ4GB9KN745247,Grey,4/1/2019,44165,12/5/2018,0,0,Blue,117,1
E300W4,WDDZF4KB1KA586593,Black,4/1/2019,75500,12/13/2018,0,0,Black,109,1
GLA250W4,WDCTG4GB5KJ584720,Grey,4/1/2019,42345,11/27/2018,0,0,White,125,1
GT63C4,WDD7X8JB3KA001543,Brown,4/1/2019,162670,2/28/2019,0,0,White,32,0
G550W4,WDCYC6BJ1KX315378,Black,4/1/2019,143865,3/13/2019,0,1,Silver,19,0
G63W4,WDCYC7HJ4KX318076,Black,3/31/2019,170045,30-Mar,0,1,White,1,0
S560V4,WDDUG8GB6KA479711,Brown,3/30/2019,123575,3/30/2019,0,1,Blue,0,0
E300W4,WDDZF4KB4KA628643,Beige,3/30/2019,65105,3/30/2019,0,1,White,0,0
GLC300W4,WDC0G4KB4KF616909,Brown,3/30/2019,53930,3/26/2019,0,0,Blue,4,0
GLS550W4,4JGDF7DE7KB190655,Brown,3/30/2019,106370,2/26/2019,0,0,White,32,0
E53W4,WDDZF6BB4KA626175,Black,3/30/2019,87590,3/20/2019,0,0,Black,10,0
G550W4,WDCYC6BJ4KX317965,Black,3/30/2019,148315,3/30/2019,0,1,Black,0,0
E450C4,WDD1J6JB9KF103170,Brown,3/30/2019,69305,3/26/2019,0,1,Red,4,0
GLE450W4,4JGFB5KE5LA005134,Grey,3/30/2019,78610,3/15/2019,0,0,White,15,0
GLC300W4,WDC0G4KB3KV165364,Black,3/30/2019,52920,3/4/2019,1,0,Grey,26,0
GLE43C4,4JGED6EB8KA148087,White,3/30/2019,84130,3/15/2019,0,0,Grey,15,0
G550W4,WDCYC6BJ1KX312643,Black,3/30/2019,133435,3/20/2019,0,1,White,10,0
C300W4,55SWF8EB8KU311292,Red,3/30/2019,55730,3/26/2019,0,0,White,4,0
C300W4,55SWF8EB3KU307523,Brown,3/30/2019,50955,3/23/2019,1,0,Black,7,0
